series_id,state_name,state_id,year,period,label,value
LASST190000000000003,Iowa,19,1976,M01,1976 Jan,4.3
LASST190000000000003,Iowa,19,1976,M02,1976 Feb,4.3
LASST190000000000003,Iowa,19,1976,M03,1976 Mar,4.2
LASST190000000000003,Iowa,19,1976,M04,1976 Apr,4.1
LASST190000000000003,Iowa,19,1976,M05,1976 May,4
LASST190000000000003,Iowa,19,1976,M06,1976 Jun,3.9
LASST190000000000003,Iowa,19,1976,M07,1976 Jul,3.9
LASST190000000000003,Iowa,19,1976,M08,1976 Aug,3.8
LASST190000000000003,Iowa,19,1976,M09,1976 Sep,3.8
LASST190000000000003,Iowa,19,1976,M10,1976 Oct,3.9
LASST190000000000003,Iowa,19,1976,M11,1976 Nov,3.9
LASST190000000000003,Iowa,19,1976,M12,1976 Dec,3.9
LASST190000000000003,Iowa,19,1977,M01,1977 Jan,3.9
LASST190000000000003,Iowa,19,1977,M02,1977 Feb,3.9
LASST190000000000003,Iowa,19,1977,M03,1977 Mar,3.9
LASST190000000000003,Iowa,19,1977,M04,1977 Apr,3.9
LASST190000000000003,Iowa,19,1977,M05,1977 May,3.9
LASST190000000000003,Iowa,19,1977,M06,1977 Jun,3.9
LASST190000000000003,Iowa,19,1977,M07,1977 Jul,4
LASST190000000000003,Iowa,19,1977,M08,1977 Aug,3.9
LASST190000000000003,Iowa,19,1977,M09,1977 Sep,3.9
LASST190000000000003,Iowa,19,1977,M10,1977 Oct,3.9
LASST190000000000003,Iowa,19,1977,M11,1977 Nov,3.8
LASST190000000000003,Iowa,19,1977,M12,1977 Dec,3.8
LASST190000000000003,Iowa,19,1978,M01,1978 Jan,3.9
LASST190000000000003,Iowa,19,1978,M02,1978 Feb,3.9
LASST190000000000003,Iowa,19,1978,M03,1978 Mar,3.9
LASST190000000000003,Iowa,19,1978,M04,1978 Apr,3.9
LASST190000000000003,Iowa,19,1978,M05,1978 May,3.8
LASST190000000000003,Iowa,19,1978,M06,1978 Jun,3.7
LASST190000000000003,Iowa,19,1978,M07,1978 Jul,3.7
LASST190000000000003,Iowa,19,1978,M08,1978 Aug,3.7
LASST190000000000003,Iowa,19,1978,M09,1978 Sep,3.8
LASST190000000000003,Iowa,19,1978,M10,1978 Oct,3.9
LASST190000000000003,Iowa,19,1978,M11,1978 Nov,4
LASST190000000000003,Iowa,19,1978,M12,1978 Dec,4
LASST190000000000003,Iowa,19,1979,M01,1979 Jan,4.1
LASST190000000000003,Iowa,19,1979,M02,1979 Feb,4.1
LASST190000000000003,Iowa,19,1979,M03,1979 Mar,4.1
LASST190000000000003,Iowa,19,1979,M04,1979 Apr,4.1
LASST190000000000003,Iowa,19,1979,M05,1979 May,4.1
LASST190000000000003,Iowa,19,1979,M06,1979 Jun,4.1
LASST190000000000003,Iowa,19,1979,M07,1979 Jul,4.1
LASST190000000000003,Iowa,19,1979,M08,1979 Aug,4.2
LASST190000000000003,Iowa,19,1979,M09,1979 Sep,4.3
LASST190000000000003,Iowa,19,1979,M10,1979 Oct,4.4
LASST190000000000003,Iowa,19,1979,M11,1979 Nov,4.5
LASST190000000000003,Iowa,19,1979,M12,1979 Dec,4.5
LASST190000000000003,Iowa,19,1980,M01,1980 Jan,4.7
LASST190000000000003,Iowa,19,1980,M02,1980 Feb,4.9
LASST190000000000003,Iowa,19,1980,M03,1980 Mar,5.2
LASST190000000000003,Iowa,19,1980,M04,1980 Apr,5.6
LASST190000000000003,Iowa,19,1980,M05,1980 May,6.1
LASST190000000000003,Iowa,19,1980,M06,1980 Jun,6.5
LASST190000000000003,Iowa,19,1980,M07,1980 Jul,6.7
LASST190000000000003,Iowa,19,1980,M08,1980 Aug,6.8
LASST190000000000003,Iowa,19,1980,M09,1980 Sep,6.8
LASST190000000000003,Iowa,19,1980,M10,1980 Oct,6.6
LASST190000000000003,Iowa,19,1980,M11,1980 Nov,6.5
LASST190000000000003,Iowa,19,1980,M12,1980 Dec,6.3
LASST190000000000003,Iowa,19,1981,M01,1981 Jan,6.2
LASST190000000000003,Iowa,19,1981,M02,1981 Feb,6.1
LASST190000000000003,Iowa,19,1981,M03,1981 Mar,6.1
LASST190000000000003,Iowa,19,1981,M04,1981 Apr,6.1
LASST190000000000003,Iowa,19,1981,M05,1981 May,6.2
LASST190000000000003,Iowa,19,1981,M06,1981 Jun,6.3
LASST190000000000003,Iowa,19,1981,M07,1981 Jul,6.4
LASST190000000000003,Iowa,19,1981,M08,1981 Aug,6.6
LASST190000000000003,Iowa,19,1981,M09,1981 Sep,6.8
LASST190000000000003,Iowa,19,1981,M10,1981 Oct,7.1
LASST190000000000003,Iowa,19,1981,M11,1981 Nov,7.4
LASST190000000000003,Iowa,19,1981,M12,1981 Dec,7.6
LASST190000000000003,Iowa,19,1982,M01,1982 Jan,7.9
LASST190000000000003,Iowa,19,1982,M02,1982 Feb,8.1
LASST190000000000003,Iowa,19,1982,M03,1982 Mar,8.3
LASST190000000000003,Iowa,19,1982,M04,1982 Apr,8.4
LASST190000000000003,Iowa,19,1982,M05,1982 May,8.5
LASST190000000000003,Iowa,19,1982,M06,1982 Jun,8.5
LASST190000000000003,Iowa,19,1982,M07,1982 Jul,8.5
LASST190000000000003,Iowa,19,1982,M08,1982 Aug,8.6
LASST190000000000003,Iowa,19,1982,M09,1982 Sep,8.7
LASST190000000000003,Iowa,19,1982,M10,1982 Oct,8.8
LASST190000000000003,Iowa,19,1982,M11,1982 Nov,8.9
LASST190000000000003,Iowa,19,1982,M12,1982 Dec,9
LASST190000000000003,Iowa,19,1983,M01,1983 Jan,9.1
LASST190000000000003,Iowa,19,1983,M02,1983 Feb,9
LASST190000000000003,Iowa,19,1983,M03,1983 Mar,8.9
LASST190000000000003,Iowa,19,1983,M04,1983 Apr,8.7
LASST190000000000003,Iowa,19,1983,M05,1983 May,8.5
LASST190000000000003,Iowa,19,1983,M06,1983 Jun,8.2
LASST190000000000003,Iowa,19,1983,M07,1983 Jul,8
LASST190000000000003,Iowa,19,1983,M08,1983 Aug,7.8
LASST190000000000003,Iowa,19,1983,M09,1983 Sep,7.6
LASST190000000000003,Iowa,19,1983,M10,1983 Oct,7.4
LASST190000000000003,Iowa,19,1983,M11,1983 Nov,7.2
LASST190000000000003,Iowa,19,1983,M12,1983 Dec,7.1
LASST190000000000003,Iowa,19,1984,M01,1984 Jan,7
LASST190000000000003,Iowa,19,1984,M02,1984 Feb,6.9
LASST190000000000003,Iowa,19,1984,M03,1984 Mar,6.9
LASST190000000000003,Iowa,19,1984,M04,1984 Apr,6.9
LASST190000000000003,Iowa,19,1984,M05,1984 May,6.9
LASST190000000000003,Iowa,19,1984,M06,1984 Jun,6.8
LASST190000000000003,Iowa,19,1984,M07,1984 Jul,6.8
LASST190000000000003,Iowa,19,1984,M08,1984 Aug,6.9
LASST190000000000003,Iowa,19,1984,M09,1984 Sep,7
LASST190000000000003,Iowa,19,1984,M10,1984 Oct,7.1
LASST190000000000003,Iowa,19,1984,M11,1984 Nov,7.2
LASST190000000000003,Iowa,19,1984,M12,1984 Dec,7.4
LASST190000000000003,Iowa,19,1985,M01,1985 Jan,7.4
LASST190000000000003,Iowa,19,1985,M02,1985 Feb,7.5
LASST190000000000003,Iowa,19,1985,M03,1985 Mar,7.5
LASST190000000000003,Iowa,19,1985,M04,1985 Apr,7.5
LASST190000000000003,Iowa,19,1985,M05,1985 May,7.5
LASST190000000000003,Iowa,19,1985,M06,1985 Jun,7.5
LASST190000000000003,Iowa,19,1985,M07,1985 Jul,7.5
LASST190000000000003,Iowa,19,1985,M08,1985 Aug,7.5
LASST190000000000003,Iowa,19,1985,M09,1985 Sep,7.4
LASST190000000000003,Iowa,19,1985,M10,1985 Oct,7.4
LASST190000000000003,Iowa,19,1985,M11,1985 Nov,7.4
LASST190000000000003,Iowa,19,1985,M12,1985 Dec,7.3
LASST190000000000003,Iowa,19,1986,M01,1986 Jan,7.3
LASST190000000000003,Iowa,19,1986,M02,1986 Feb,7.2
LASST190000000000003,Iowa,19,1986,M03,1986 Mar,7.2
LASST190000000000003,Iowa,19,1986,M04,1986 Apr,7.1
LASST190000000000003,Iowa,19,1986,M05,1986 May,7
LASST190000000000003,Iowa,19,1986,M06,1986 Jun,6.9
LASST190000000000003,Iowa,19,1986,M07,1986 Jul,6.7
LASST190000000000003,Iowa,19,1986,M08,1986 Aug,6.6
LASST190000000000003,Iowa,19,1986,M09,1986 Sep,6.5
LASST190000000000003,Iowa,19,1986,M10,1986 Oct,6.3
LASST190000000000003,Iowa,19,1986,M11,1986 Nov,6.2
LASST190000000000003,Iowa,19,1986,M12,1986 Dec,6.1
LASST190000000000003,Iowa,19,1987,M01,1987 Jan,6
LASST190000000000003,Iowa,19,1987,M02,1987 Feb,5.8
LASST190000000000003,Iowa,19,1987,M03,1987 Mar,5.8
LASST190000000000003,Iowa,19,1987,M04,1987 Apr,5.7
LASST190000000000003,Iowa,19,1987,M05,1987 May,5.6
LASST190000000000003,Iowa,19,1987,M06,1987 Jun,5.6
LASST190000000000003,Iowa,19,1987,M07,1987 Jul,5.5
LASST190000000000003,Iowa,19,1987,M08,1987 Aug,5.4
LASST190000000000003,Iowa,19,1987,M09,1987 Sep,5.3
LASST190000000000003,Iowa,19,1987,M10,1987 Oct,5.2
LASST190000000000003,Iowa,19,1987,M11,1987 Nov,5.1
LASST190000000000003,Iowa,19,1987,M12,1987 Dec,4.9
LASST190000000000003,Iowa,19,1988,M01,1988 Jan,4.8
LASST190000000000003,Iowa,19,1988,M02,1988 Feb,4.7
LASST190000000000003,Iowa,19,1988,M03,1988 Mar,4.6
LASST190000000000003,Iowa,19,1988,M04,1988 Apr,4.6
LASST190000000000003,Iowa,19,1988,M05,1988 May,4.6
LASST190000000000003,Iowa,19,1988,M06,1988 Jun,4.5
LASST190000000000003,Iowa,19,1988,M07,1988 Jul,4.5
LASST190000000000003,Iowa,19,1988,M08,1988 Aug,4.5
LASST190000000000003,Iowa,19,1988,M09,1988 Sep,4.4
LASST190000000000003,Iowa,19,1988,M10,1988 Oct,4.3
LASST190000000000003,Iowa,19,1988,M11,1988 Nov,4.3
LASST190000000000003,Iowa,19,1988,M12,1988 Dec,4.2
LASST190000000000003,Iowa,19,1989,M01,1989 Jan,4.1
LASST190000000000003,Iowa,19,1989,M02,1989 Feb,4.1
LASST190000000000003,Iowa,19,1989,M03,1989 Mar,4.1
LASST190000000000003,Iowa,19,1989,M04,1989 Apr,4.1
LASST190000000000003,Iowa,19,1989,M05,1989 May,4.1
LASST190000000000003,Iowa,19,1989,M06,1989 Jun,4.2
LASST190000000000003,Iowa,19,1989,M07,1989 Jul,4.3
LASST190000000000003,Iowa,19,1989,M08,1989 Aug,4.3
LASST190000000000003,Iowa,19,1989,M09,1989 Sep,4.3
LASST190000000000003,Iowa,19,1989,M10,1989 Oct,4.3
